ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,ÃÑ°è
ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,³íº­Àç¹è³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼Âø±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÃÑ°è
¼ö¿ø½Ã,³íº­,2412,319,335,202,218,68,70,172,177,160,164,9,9,973
Àå¾È±¸,³íº­,549,66,66,39,40,9,9,34,34,28,29,1,1,179
±Ç¼±±¸,³íº­,969,140,154,109,123,45,47,85,90,89,92,5,5,511
ÆÈ´Þ±¸,³íº­,342,35,35,15,15,3,3,16,16,11,11,1,1,81
¿µÅë±¸,³íº­,552,78,80,39,40,11,11,37,37,32,32,2,2,202
¼º³²½Ã,³íº­,269,42,48,24,26,10,10,26,30,17,17,1,1,132
¼öÁ¤±¸,³íº­,75,15,15,7,7,-,-,7,7,4,4,-,-,33
Áß¿ø±¸,³íº­,32,8,9,5,6,3,3,5,8,5,5,1,1,32
ºÐ´ç±¸,³íº­,162,19,24,12,13,7,7,14,15,8,8,-,-,67
ÀÇÁ¤ºÎ½Ã,³íº­,336,61,70,40,46,11,13,47,54,26,27,4,6,216
¾È¾ç½Ã,³íº­,409,48,51,33,33,15,15,30,33,15,15,1,1,148
¸¸¾È±¸,³íº­,134,19,22,10,10,5,5,12,15,7,7,-,-,59
µ¿¾È±¸,³íº­,275,29,29,23,23,10,10,18,18,8,8,1,1,89
ºÎÃµ½Ã,³íº­,585,56,62,30,39,14,14,29,41,18,19,2,2,177
±¤¸í½Ã,³íº­,182,32,33,19,21,4,4,14,16,17,17,3,3,94
ÆòÅÃ½Ã,³íº­,6302,2149,2232,2034,2246,662,672,1259,1391,1327,1351,37,37,7929
µ¿µÎÃµ½Ã,³íº­,152,67,72,43,45,15,15,49,58,22,22,1,1,213
¾È»ê½Ã,³íº­,494,137,144,107,117,57,57,121,137,85,88,8,8,551
»ó·Ï±¸,³íº­,287,60,61,58,64,26,26,60,61,44,44,2,2,258
´Ü¿ø±¸,³íº­,207,77,83,49,53,31,31,61,76,41,44,6,6,293
°í¾ç½Ã,³íº­,1502,392,418,287,331,100,104,266,303,184,189,10,11,1356
´ö¾ç±¸,³íº­,499,128,130,75,91,30,32,80,95,55,58,6,7,413
ÀÏ»êµ¿±¸,³íº­,439,109,122,82,86,26,28,80,86,50,51,3,3,376
ÀÏ»ê¼­±¸,³íº­,564,155,166,130,154,44,44,106,122,79,80,1,1,567
°úÃµ½Ã,³íº­,42,8,8,4,4,3,3,5,5,4,4,-,-,24
±¸¸®½Ã,³íº­,51,14,15,7,7,2,2,6,6,3,3,-,-,33
³²¾çÁÖ½Ã,³íº­,415,165,176,64,66,26,26,126,129,59,59,2,2,458
¿À»ê½Ã,³íº­,877,171,177,169,174,59,62,125,126,99,99,1,1,639
½ÃÈï½Ã,³íº­,540,193,212,117,125,49,50,104,122,88,90,1,1,600
±ºÆ÷½Ã,³íº­,257,39,44,28,28,12,12,22,22,22,22,-,-,128
ÀÇ¿Õ½Ã,³íº­,158,41,45,19,19,10,10,30,31,22,22,2,3,130
ÇÏ³²½Ã,³íº­,105,26,28,7,7,2,2,6,6,7,7,1,1,51
¿ëÀÎ½Ã,³íº­,3019,1048,1082,827,858,283,287,851,884,552,560,27,27,3698
Ã³ÀÎ±¸,³íº­,2224,933,965,758,789,257,261,777,807,509,517,21,21,3360
±âÈï±¸,³íº­,487,54,56,37,37,11,11,39,39,20,20,1,1,164
¼öÁö±¸,³íº­,308,61,61,32,32,15,15,35,38,23,23,5,5,174
ÆÄÁÖ½Ã,³íº­,3524,1244,1316,1076,1213,399,405,861,997,771,780,32,33,4744
ÀÌÃµ½Ã,³íº­,4656,1841,1889,1897,2011,593,602,1416,1469,1128,1138,24,25,7134
¾È¼º½Ã,³íº­,4378,1787,1833,1589,1684,410,413,1367,1433,926,932,26,26,6321
±èÆ÷½Ã,³íº­,2864,1196,1246,913,995,337,340,709,777,650,659,15,15,4032
È­¼º½Ã,³íº­,5794,2575,2695,2297,2442,803,815,2284,2427,1567,1588,39,40,10007
±¤ÁÖ½Ã,³íº­,845,385,403,268,283,79,80,262,275,183,184,3,3,1228
¾çÁÖ½Ã,³íº­,1201,423,445,330,343,103,103,423,442,199,200,4,4,1537
Æ÷Ãµ½Ã,³íº­,1980,922,948,787,842,170,171,822,848,607,612,12,14,3435
¿©ÁÖ½Ã,³íº­,4195,1791,1831,1860,1939,503,506,1362,1449,1015,1023,22,22,6770
