"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ü¸®±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ú¼ö¿ø¿ëSSºÐ¹«±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼»è±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Àú¿ÂÀúÀå°í:³ó°¡ (°¡±¸),¹Ù´Ú¸éÀû (§³)
"±¤ÁÖ½Ã","³íº­",1102,569,582,320,328,95,96,230,232,471,488,322,323,3,3,1,1,40,1215
"¾çÁÖ½Ã","³íº­",1586,700,730,444,475,144,145,280,283,632,664,385,389,4,5,12,12,68,832
"Æ÷Ãµ½Ã","³íº­",2457,1282,1319,860,901,176,177,485,488,970,997,868,872,22,22,30,32,38,1684
"¿©ÁÖ½Ã","³íº­",4542,2542,2585,2058,2146,674,676,1195,1211,1706,1783,1529,1530,30,30,50,80,154,4045
"¿¬Ãµ±º","³íº­",1434,657,668,503,528,180,182,265,268,562,608,436,439,25,25,25,25,136,1892
"°¡Æò±º","³íº­",933,574,598,200,201,71,71,187,187,360,366,206,208,2,2,12,17,65,1243
"¾çÆò±º","³íº­",3269,2044,2143,1016,1051,413,414,725,736,1251,1303,1038,1043,15,15,41,41,381,3716
"µ¿ºÎ","³íº­",2909,1172,1287,479,493,219,221,632,654,465,490,690,695,9,9,14,14,58,1088
"À¾ºÎ","³íº­",5847,3254,3386,2484,2573,713,727,1594,1619,2035,2145,2447,2459,35,36,82,94,439,6155
"¸éºÎ","³íº­",9882,6720,7150,3966,4102,1541,1549,2905,2991,4077,4330,4323,4362,100,101,128,142,1222,15659
"ÃáÃµ½Ã","³íº­",1228,665,711,310,315,113,114,374,377,311,326,367,368,10,10,8,8,36,514
"¿øÁÖ½Ã","³íº­",3392,1824,1904,842,854,308,308,1090,1126,1065,1146,1106,1116,47,48,34,34,126,1858
"°­¸ª½Ã","³íº­",2273,1357,1511,681,727,270,273,624,647,590,609,875,887,15,16,16,17,57,1088
"µ¿ÇØ½Ã","³íº­",260,179,220,43,45,28,29,93,99,77,86,107,108,1,1,2,2,28,402
"ÅÂ¹é½Ã","³íº­",6,1,1,,,,,,,,,,,,,,,,
"¼ÓÃÊ½Ã","³íº­",314,165,176,71,73,35,36,71,71,91,96,85,86,1,1,1,1,9,140
"»ïÃ´½Ã","³íº­",626,389,447,157,172,113,116,197,204,218,231,211,214,1,1,9,16,67,794
"È«Ãµ±º","³íº­",1743,1164,1230,770,791,284,285,468,481,680,713,809,813,3,3,22,23,322,3864
"È¾¼º±º","³íº­",1426,970,1021,578,596,173,174,422,434,597,628,585,590,5,5,21,22,159,1978
"¿µ¿ù±º","³íº­",212,135,138,72,74,33,34,91,96,117,129,85,86,2,2,7,7,22,450
"ÆòÃ¢±º","³íº­",198,141,145,83,86,43,43,103,109,111,119,84,84,3,3,4,4,58,690
"Á¤¼±±º","³íº­",147,92,108,36,37,15,15,26,26,51,56,41,41,,,4,4,17,222
