"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ü¸®±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ú¼ö¿ø¿ëSSºÐ¹«±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Àú¿ÂÀúÀå°í:³ó°¡ (°¡±¸),¹Ù´Ú¸éÀû (§³)
"µ¿±¸","³íº­",321,41,42,13,13,8,8,21,22,9,9,13,13,3,3,-,-
"¼­±¸","³íº­",874,212,221,75,95,39,39,58,64,56,68,69,71,4,4,13,366
"³²±¸","³íº­",865,235,250,95,111,56,56,97,97,55,62,98,101,7,7,6,186
"ºÏ±¸","³íº­",1868,409,438,122,130,68,68,154,159,87,99,134,136,8,8,12,227
"±¤»ê±¸","³íº­",3009,1031,1107,360,415,191,196,265,269,219,253,297,304,11,11,26,1020
"µ¿±¸","³íº­",350,132,142,28,28,23,24,97,98,32,32,63,67,1,1,2,48
"Áß±¸","³íº­",328,72,76,11,11,8,8,40,40,19,19,23,23,1,1,3,30
"¼­±¸","³íº­",1200,246,250,76,78,35,35,151,156,55,57,124,125,9,9,1,33
"À¯¼º±¸","³íº­",1196,393,408,108,116,68,69,220,227,101,108,214,221,11,12,6,101
"´ë´ö±¸","³íº­",508,123,124,16,16,12,12,72,74,24,24,47,48,4,4,-,-
"µ¿ºÎ","³íº­",2067,889,1016,181,182,125,126,243,243,69,70,448,452,17,17,5,88
"À¾ºÎ","³íº­",1718,1035,1161,304,315,210,212,299,299,148,152,549,558,19,19,10,340
"¸éºÎ","³íº­",2303,1585,1809,522,531,326,329,377,378,180,186,967,978,18,18,23,467
"Áß±¸","³íº­",486,165,187,37,37,27,27,51,51,9,9,73,74,5,5,2,19
"³²±¸","³íº­",516,154,160,24,24,22,22,49,49,7,8,64,65,6,6,2,63
"µ¿±¸","³íº­",52,14,18,2,2,1,1,2,2,-,-,3,3,-,-,-,-
"ºÏ±¸","³íº­",1013,556,651,118,119,75,76,141,141,53,53,308,310,6,6,1,6
"¿ïÁÖ±º","³íº­",4021,2620,2970,826,846,536,541,676,677,328,338,1516,1536,37,37,33,807
"µ¿ºÎ","³íº­",17542,5847,6159,3158,3362,1467,1503,2042,2059,2238,2423,3537,3600,118,123,93,3453
"À¾ºÎ","³íº­",14860,7513,7752,4271,4500,1842,1862,2418,2446,3151,3393,4538,4594,151,151,191,6033
"¸éºÎ","³íº­",35079,21408,22186,12315,12910,4918,4958,7078,7145,10030,10608,12841,12977,212,218,638,18708
"¼ö¿ø½Ã","³íº­",1785,406,432,230,257,103,108,186,187,127,137,238,241,10,11,7,104
"Àå¾È±¸","³íº­",368,71,77,33,38,11,12,32,32,25,29,39,39,3,4,1,10
"±Ç¼±±¸","³íº­",804,226,240,144,166,65,69,100,101,63,69,136,139,2,2,3,43
"ÆÈ´Þ±¸","³íº­",251,40,44,17,17,4,4,21,21,11,11,18,18,3,3,2,18
"¿µÅë±¸","³íº­",362,69,71,36,36,23,23,33,33,28,28,45,45,2,2,1,33
"¼º³²½Ã","³íº­",133,36,40,12,12,6,6,14,14,12,12,17,18,2,2,1,30
"¼öÁ¤±¸","³íº­",40,16,18,3,3,-,-,3,3,4,4,5,5,1,1,-,-
"Áß¿ø±¸","³íº­",23,4,5,2,2,-,-,3,3,2,2,3,3,-,-,-,-
"ºÐ´ç±¸","³íº­",70,16,17,7,7,6,6,8,8,6,6,9,10,1,1,1,30
"ÀÇÁ¤ºÎ½Ã","³íº­",349,105,110,37,38,16,16,31,31,35,37,48,48,4,4,-,-
"¾È¾ç½Ã","³íº­",178,22,23,6,6,4,4,4,4,4,4,7,7,2,2,2,49
"¸¸¾È±¸","³íº­",63,10,10,2,2,2,2,1,1,2,2,5,5,2,2,-,-
"µ¿¾È±¸","³íº­",115,12,13,4,4,2,2,3,3,2,2,2,2,-,-,2,49
"ºÎÃµ½Ã","³íº­",417,67,78,35,47,13,13,20,20,22,35,36,38,1,1,-,-
"¿ø¹Ì±¸","³íº­",154,16,17,9,9,2,2,4,4,7,7,11,11,-,-,-,-
"¼Ò»ç±¸","³íº­",45,10,10,3,3,2,2,3,3,3,3,3,3,1,1,-,-
"¿ÀÁ¤±¸","³íº­",218,41,51,23,35,9,9,13,13,12,25,22,24,-,-,-,-
"±¤¸í½Ã","³íº­",210,71,73,21,21,7,7,15,15,13,13,33,33,-,-,-,-
"ÆòÅÃ½Ã","³íº­",8518,4036,4202,2774,3006,1105,1117,1233,1246,1471,1610,2550,2610,41,41,61,2493
"µ¿µÎÃµ½Ã","³íº­",153,77,90,31,33,14,14,14,14,36,38,41,41,-,-,1,10
"¾È»ê½Ã","³íº­",530,215,226,124,131,75,77,97,97,91,95,120,122,28,28,11,222
"»ó·Ï±¸","³íº­",328,127,132,83,87,45,45,37,37,52,52,68,69,-,-,-,-
"´Ü¿ø±¸","³íº­",202,88,94,41,44,30,32,60,60,39,43,52,53,28,28,11,222
"°í¾ç½Ã","³íº­",1933,725,754,395,446,195,205,235,242,274,341,399,413,4,4,16,639
"´ö¾ç±¸","³íº­",727,246,257,106,122,52,56,75,77,76,94,131,140,-,-,7,329
"ÀÏ»êµ¿±¸","³íº­",535,197,209,100,111,45,48,58,62,80,101,115,118,3,3,3,46
"ÀÏ»ê¼­±¸","³íº­",671,282,288,189,213,98,101,102,103,118,146,153,155,1,1,6,264
"°úÃµ½Ã","³íº­",44,19,22,8,8,2,2,8,8,3,3,5,5,-,-,-,-
"±¸¸®½Ã","³íº­",31,5,5,2,2,-,-,2,2,1,1,3,3,-,-,-,-
"³²¾çÁÖ½Ã","³íº­",630,293,313,94,95,41,42,75,77,115,120,134,137,5,5,13,314
"¿À»ê½Ã","³íº­",787,269,276,197,201,94,94,93,93,111,111,201,201,2,3,2,27
"½ÃÈï½Ã","³íº­",739,348,375,154,157,68,72,71,71,125,137,195,204,16,16,2,178
"±ºÆ÷½Ã","³íº­",173,59,66,29,30,13,14,19,19,19,21,39,41,2,3,-,-
"ÀÇ¿Õ½Ã","³íº­",170,87,98,19,20,14,15,43,43,47,50,53,55,-,-,1,66
"ÇÏ³²½Ã","³íº­",144,66,69,16,16,5,5,13,13,11,11,20,20,-,-,-,-
"¿ëÀÎ½Ã","³íº­",3975,2020,2083,1087,1117,498,500,835,837,1022,1056,1170,1172,9,11,23,535
"Ã³ÀÎ±¸","³íº­",3445,1890,1947,1031,1059,465,467,784,786,973,1006,1092,1094,6,8,20,471
"±âÈï±¸","³íº­",362,96,98,37,39,23,23,39,39,38,38,60,60,1,1,2,38
"¼öÁö±¸","³íº­",168,34,38,19,19,10,10,12,12,11,12,18,18,2,2,1,26
"ÆÄÁÖ½Ã","³íº­",5275,2523,2629,1535,1669,657,666,763,776,1204,1339,1628,1647,27,28,41,2199
"ÀÌÃµ½Ã","³íº­",5751,3186,3253,2049,2104,851,853,1102,1111,1386,1442,2003,2015,130,132,66,2166
"¾È¼º½Ã","³íº­",5965,3048,3110,1709,1767,597,604,1142,1156,1351,1393,1613,1625,48,48,29,1324
"±èÆ÷½Ã","³íº­",3833,2123,2222,1114,1198,508,515,1052,1063,810,899,1182,1194,37,37,57,2228
"È­¼º½Ã","³íº­",7344,4433,4684,2641,2785,1240,1262,1878,1899,2506,2637,3034,3083,53,56,104,3599
"±¤ÁÖ½Ã","³íº­",1314,757,777,360,370,148,149,218,219,481,529,456,462,4,4,18,422
"¾çÁÖ½Ã","³íº­",1773,770,804,416,432,180,180,190,192,431,445,446,449,2,2,14,406
"Æ÷Ãµ½Ã","³íº­",3016,1657,1699,870,907,234,238,375,378,638,665,1089,1099,14,14,33,1971
